Market_Date,Archive_Time,System_Refresh_Time,Ticker,Lifecycle,Decision_Support,Detection,Signal_Window,ML_Quality,ML_Daily_Rank,ML_Signal_Date,Confirmation,Rotation,Structure,Structure_History,MA_Breadth,Pct_vs_EMA20,Pct_vs_MA50,Close
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,AIQ,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,● DEVELOPING,WATCH,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,3/5 ABOVE,-0.007,0.0135711640935654,62.959999084472656
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,AIRR,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.046,-0.1020907055062653,105.0500030517578
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,AMLP,5 — WEAKENING / PULLBACK,● ESTABLISHED LEADER,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ CONFIRMED LEADER,LEADER,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,4/5 ABOVE,-0.001,0.0190918472652217,55.29999923706055
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,ARKG,3 — LEADING,▲ EARLY WATCH,▲ DAY 1 CONFIRMATION,DAY 1 — CONFIRMATION WINDOW,— NO CURRENT ML SIGNAL,,,▲ CONFIRMED LEADER,LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.029,0.0974880382775118,47.709999084472656
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,AWAY,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.062,-0.076553022380255,17.66010093688965
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,BATT,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.049,-0.0290163716225209,14.59000015258789
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,BETZ,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ EMERGING CONFIRMATION,EMERGING,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,3/5 ABOVE,-0.001,0.0006212144742971,19.32900047302246
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,BOTZ,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.026,-0.0330596973250683,34.630001068115234
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,CIBR,3 — LEADING,▲ EARLY WATCH,▲ DAY 1 CONFIRMATION,DAY 1 — CONFIRMATION WINDOW,— NO CURRENT ML SIGNAL,,,▲ CONFIRMED LEADER,LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.049,0.067021636240703,101.0
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,COPX,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,● MODERATE,,2026-09-04,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.055,-0.0002954558884357,84.58999633789062
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,CORN,3 — LEADING,● ESTABLISHED LEADER,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ CONFIRMED LEADER,LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.021,0.0788694481830416,20.040000915527344
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,CPER,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,1/5 ABOVE,-0.022,-0.0159303745928338,38.66999816894531
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,DBA,2 — CONFIRMING / BUILDING,— MONITOR,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ EARLY CONFIRMATION,WATCH,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.003,0.0244040862656071,28.8799991607666
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,DIA,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.014,-0.014011505059237,521.22998046875
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,DRAM,5 — WEAKENING / PULLBACK,— MONITOR,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,★★ ELITE,,2026-09-04,— NOT CONFIRMED,WATCH,● PARTIAL-HISTORY MIXED STRUCTURE,MA200 NOT YET AVAILABLE,0/4 ABOVE,-0.034,-0.0144226462420495,55.0099983215332
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,ETHE,2 — CONFIRMING / BUILDING,— MONITOR,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ EMERGING CONFIRMATION,EMERGING,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.016,0.1550133888723595,19.40999984741211
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,GLD,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,1/5 ABOVE,-0.02,0.0061237878141982,394.1499938964844
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IAI,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— LOW,,2026-09-04,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.032,-0.0271227034465372,185.22999572753903
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IBB,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,WEAKENING,▲ POSITIVE STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,3/5 ABOVE,-0.02,0.0129933954836543,202.0
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IBIT,2 — CONFIRMING / BUILDING,— MONITOR,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ EARLY CONFIRMATION,WATCH,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.004,0.0994363826477264,43.11000061035156
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IEF,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,● NEAR EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.012,-0.0184168431974407,90.81999969482422
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IGV,2 — CONFIRMING / BUILDING,— MONITOR,▲ DAY 1 CONFIRMATION,DAY 1 — CONFIRMATION WINDOW,● MODERATE,,2026-09-04,● DEVELOPING,WATCH,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.018,0.0627693423013411,105.5500030517578
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,ITA,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.059,-0.0967377036033412,214.0
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,IWM,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,1/5 ABOVE,-0.028,-0.0360769678038754,285.1400146484375
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,KBE,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.009,-0.0193956186682828,67.94999694824219
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,KBWD,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— LOW,,2026-09-04,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.033,-0.0337848865676513,11.84000015258789
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,KRE,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.006,-0.0188284241629236,74.05000305175781
